transaction_id,sender_id,receiver_id,amount,timestamp,payment_method,amount_deviation,is_new_device,is_new_ip,location_deviation_km,hour_of_day,day_of_week,velocity_1h,velocity_24h,recipient_in_degree,sender_out_degree,is_fraud_labeled
TX20A7D19E4D,U0376,U0509,564.63,2026-08-01 00:02:07,NetBanking,,0,0,,0,5,0,0,0,0,0
TX282723145B,U0564,U0624,165.16,2026-08-01 00:02:59,UPI,,0,0,,0,5,0,0,0,0,0
TXBF7B26F665,U0968,U0674,477.24,2026-08-01 00:02:59,NetBanking,,0,0,,0,5,0,0,0,0,0
TX8ECC4B5C28,U0414,U0939,2447.03,2026-08-01 00:03:15,UPI,,0,0,,0,5,0,0,0,0,0
TX27D4B0F95C,U0258,U0706,2322.98,2026-08-01 00:04:38,UPI,,0,0,,0,5,0,0,0,0,0
TXB15488C0CF,U0864,U0104,1074.4,2026-08-01 00:05:05,UPI,,0,0,,0,5,0,0,0,0,0
TX6C959AF7FC,U0337,U0267,2325.99,2026-08-01 00:05:09,Card,,0,0,,0,5,0,0,0,0,0
TXAFF98B9018,U0888,U0012,618.7,2026-08-01 00:05:30,UPI,,0,0,,0,5,0,0,0,0,0
TXD564193C0E,U0487,U0896,125.65,2026-08-01 00:08:37,Card,,0,0,,0,5,0,0,0,0,0
TX557A226B93,U0482,U0786,1316.74,2026-08-01 00:10:04,UPI,,0,0,,0,5,0,0,0,0,0
TXF1AC6C5C79,U0961,U0308,203.79,2026-08-01 00:12:21,Card,,0,0,,0,5,0,0,0,0,0
TX7B52CCF076,U0610,U0310,2104.82,2026-08-01 00:14:17,Card,,0,0,,0,5,0,0,0,0,0
TXF2791B1564,U0492,U0471,1001.09,2026-08-01 00:14:50,Card,,0,0,,0,5,0,0,0,0,0
TX1B79403DE2,U0090,U0399,1481.79,2026-08-01 00:19:39,UPI,,0,0,,0,5,0,0,0,0,0
TX42F3EE9FBE,U0939,U0216,209.51,2026-08-01 00:19:49,Card,,0,0,,0,5,0,0,0,0,0
TX8782C52E5E,U0464,U0741,1499.5,2026-08-01 00:19:56,UPI,,0,0,,0,5,0,0,0,0,0
TX656E26C6EC,U0341,U0343,281.65,2026-08-01 00:20:29,UPI,,0,0,,0,5,0,0,0,0,0
TXE88C501B06,U0677,U0855,353.69,2026-08-01 00:22:25,UPI,,0,0,,0,5,0,0,0,0,0
TX4FB40E4AE1,U0958,U0677,161.9,2026-08-01 00:23:37,UPI,,0,0,,0,5,0,0,0,0,0
TXC41DDBDBF2,U0391,U0438,8131.36,2026-08-01 00:24:10,Card,,0,0,,0,5,0,0,0,0,0
TX9E56A3B622,U0630,U0561,269.02,2026-08-01 00:25:18,Card,,0,0,,0,5,0,0,0,0,0
TX180244E741,U0361,U0325,838.98,2026-08-01 00:27:53,UPI,,0,0,,0,5,0,0,0,0,0
TX35F8C2B3AA,U0745,U0224,747.2,2026-08-01 00:29:39,Card,,0,0,,0,5,0,0,0,0,0
TX0D72DF49F5,U0935,U0259,427.5,2026-08-01 00:32:29,UPI,,0,0,,0,5,0,0,0,0,0
TX135A0D68CB,U0912,U0749,233.49,2026-08-01 00:33:53,Card,,0,0,,0,5,0,0,0,0,0
TXDEA8D2F2C3,U0502,U0596,1331.86,2026-08-01 00:34:56,UPI,,0,0,,0,5,0,0,0,0,0
TX8BE877A83D,U0140,U0509,8551.82,2026-08-01 00:36:19,UPI,,0,0,,0,5,0,0,1,0,0
TX2262597CD6,U0384,U0751,2420.05,2026-08-01 00:37:23,UPI,,0,0,,0,5,0,0,0,0,0
TX9358D432BB,U0787,U0735,1522.5,2026-08-01 00:40:40,UPI,,0,0,,0,5,0,0,0,0,0
TXE3DB392BB3,U0850,U0464,1465.44,2026-08-01 00:40:47,Card,,0,0,,0,5,0,0,0,0,0
TX6DA04A88FD,U0426,U0146,1342.69,2026-08-01 00:42:18,Card,,0,0,,0,5,0,0,0,0,0
TXA469772BD8,U0090,U0361,1376.89,2026-08-01 00:45:42,UPI,0.9292,0,0,0.0,0,5,1,1,0,1,0
TXCF038288F5,U0154,U0118,1169.26,2026-08-01 00:48:49,UPI,,0,0,,0,5,0,0,0,0,0
TX4D596A79AA,U0868,U0668,245.08,2026-08-01 00:50:19,UPI,,0,0,,0,5,0,0,0,0,0
TX0E303DBDC5,U0363,U0522,750.77,2026-08-01 00:50:52,UPI,,0,0,,0,5,0,0,0,0,0
TX6D75D87F2A,U0135,U0944,4494.1,2026-08-01 00:52:29,UPI,,0,0,,0,5,0,0,0,0,0
TXF5F4E552E4,U0011,U0112,117.33,2026-08-01 00:52:43,UPI,,0,0,,0,5,0,0,0,0,0
TX952740E539,U0665,U0214,320.01,2026-08-01 00:53:36,UPI,,0,0,,0,5,0,0,0,0,0
TXE9B12E1BC8,U0418,U0261,554.55,2026-08-01 01:03:32,Card,,0,0,,1,5,0,0,0,0,0
TX0B1C99D622,U0161,U0616,1156.14,2026-08-01 01:04:10,UPI,,0,0,,1,5,0,0,0,0,0
TX1F95982A5B,U0343,U0905,601.21,2026-08-01 01:05:14,UPI,,0,0,,1,5,0,0,0,0,0
TX75A4C0A5C2,U0168,U0994,195.88,2026-08-01 01:08:27,UPI,,0,0,,1,5,0,0,0,0,0
TXA28AF39587,U0623,U0280,7059.27,2026-08-01 01:09:05,UPI,,0,0,,1,5,0,0,0,0,1
TX6503E6FCA7,U0732,U0411,2679.52,2026-08-01 01:10:41,NetBanking,,0,0,,1,5,0,0,0,0,0
TX73218300BB,U0623,U0764,2439.75,2026-08-01 01:11:05,UPI,0.3456,0,0,0.0,1,5,1,1,0,1,1
TX4A451B9634,U0623,U0452,6284.8,2026-08-01 01:13:05,UPI,1.3233,0,0,0.0,1,5,2,2,0,2,1
TXAF2401D1DB,U0963,U0526,472.65,2026-08-01 01:13:27,UPI,,0,0,,1,5,0,0,0,0,0
TXE960C21205,U0623,U0622,4426.26,2026-08-01 01:14:05,UPI,0.8413,0,0,0.0,1,5,3,3,0,3,1
TX50D53A7EA4,U0623,U0399,4902.56,2026-08-01 01:15:05,UPI,0.9703,0,0,0.0,1,5,4,4,1,4,1
TXB6F68D9086,U0079,U0808,450.64,2026-08-01 01:16:09,NetBanking,,0,0,,1,5,0,0,0,0,0
TX926C0521E1,U0778,U0478,2198.45,2026-08-01 01:17:50,UPI,,0,0,,1,5,0,0,0,0,0
TX3D11B1355F,U0272,U0219,2741.33,2026-08-01 01:18:05,UPI,,0,0,,1,5,0,0,0,0,0
TX6625892303,U0245,U0407,45.64,2026-08-01 01:18:39,UPI,,0,0,,1,5,0,0,0,0,0
TX9F54866AA4,U0623,U0937,6204.45,2026-08-01 01:19:05,UPI,1.2353,0,0,0.0,1,5,5,5,0,5,1
TXF9AEF0EB0D,U0483,U0987,1524.84,2026-08-01 01:20:58,Card,,0,0,,1,5,0,0,0,0,0
TX967AAC57AE,U0675,U0964,1253.28,2026-08-01 01:27:39,UPI,,0,0,,1,5,0,0,0,0,0
TX2E200C8727,U0767,U0405,2315.02,2026-08-01 01:28:20,NetBanking,,0,0,,1,5,0,0,0,0,0
TX9D6D9196C3,U0600,U0330,123.05,2026-08-01 01:30:09,UPI,,0,0,,1,5,0,0,0,0,0
TXC5A4AF42B8,U0053,U0282,3564.14,2026-08-01 01:31:24,NetBanking,,0,0,,1,5,0,0,0,0,0
TX2C224DCD4F,U0145,U0744,521.86,2026-08-01 01:33:25,UPI,,0,0,,1,5,0,0,0,0,0
TX0C7D2A6A17,U0623,U0936,3743.53,2026-08-01 01:37:05,UPI,0.7172,0,0,0.0,1,5,6,6,0,6,1
TXB654965BBF,U0252,U0644,812.14,2026-08-01 01:37:06,UPI,,0,0,,1,5,0,0,0,0,0
TX776B07CE0C,U0309,U0836,2138.21,2026-08-01 01:37:29,UPI,,0,0,,1,5,0,0,0,0,0
TXE3D279797E,U0629,U0717,85.8,2026-08-01 01:37:44,UPI,,0,0,,1,5,0,0,0,0,0
TXC349904343,U0623,U0214,5903.28,2026-08-01 01:39:05,UPI,1.1786,0,0,0.0,1,5,7,7,1,7,1
TXE2314F6651,U0639,U0158,676.52,2026-08-01 01:40:06,UPI,,0,0,,1,5,0,0,0,0,0
TXF0E160EC51,U0241,U0371,3544.51,2026-08-01 01:40:10,UPI,,0,0,,1,5,0,0,0,0,0
TX3DC09BA80B,U0406,U0202,3320.38,2026-08-01 01:40:52,UPI,,0,0,,1,5,0,0,0,0,0
TXECE3CA454D,U0580,U0955,775.82,2026-08-01 01:44:15,NetBanking,,0,0,,1,5,0,0,0,0,0
TXE3EAAA10B6,U0861,U0413,3205.29,2026-08-01 01:45:34,Card,,0,0,,1,5,0,0,0,0,0
TX359907770A,U0277,U0588,3752.56,2026-08-01 01:45:47,UPI,,0,0,,1,5,0,0,0,0,0
TX5933F0943C,U0012,U0506,3118.97,2026-08-01 01:46:25,NetBanking,,0,0,,1,5,0,0,0,0,0
TX8FF70A3D9A,U0292,U0848,145.95,2026-08-01 01:47:22,UPI,,0,0,,1,5,0,0,0,0,0
TX527D5A3921,U0826,U0103,6730.07,2026-08-01 01:47:49,Card,,0,0,,1,5,0,0,0,0,0
TX89AB03EAA7,U0295,U0752,309.94,2026-08-01 01:48:35,UPI,,0,0,,1,5,0,0,0,0,0
TXE4AFD3EC47,U0253,U0554,2277.9,2026-08-01 01:48:49,UPI,,0,0,,1,5,0,0,0,0,0
TXC21CC7DFC7,U0966,U0527,886.74,2026-08-01 01:52:10,NetBanking,,0,0,,1,5,0,0,0,0,0
TX2193B6780C,U0651,U0765,335.38,2026-08-01 01:52:42,UPI,,0,0,,1,5,0,0,0,0,0
TX04CF2F22AB,U0387,U0097,1019.61,2026-08-01 01:52:59,Card,,0,0,,1,5,0,0,0,0,0
TX58768FD6D3,U0426,U0912,1870.1,2026-08-01 01:53:58,UPI,1.3928,0,0,0.0,1,5,0,1,0,1,0
TX4EBE969712,U0941,U0289,585.15,2026-08-01 01:55:43,Card,,0,0,,1,5,0,0,0,0,0
TXEE66564725,U0895,U0125,2460.33,2026-08-01 01:56:19,Card,,0,0,,1,5,0,0,0,0,0
TX954298F1C3,U0410,U0296,273.33,2026-08-01 01:56:38,NetBanking,,0,0,,1,5,0,0,0,0,0
TX8529C0A633,U0239,U0456,2269.87,2026-08-01 01:56:47,Card,,0,0,,1,5,0,0,0,0,0
TX1BDF8105C4,U0627,U0005,996.23,2026-08-01 01:57:23,Card,,0,0,,1,5,0,0,0,0,0
TXB639DFE222,U0898,U0006,5025.25,2026-08-01 01:59:54,UPI,,0,0,,1,5,0,0,0,0,0
TX9223AE9B5C,U0412,U0815,1238.05,2026-08-01 02:00:29,UPI,,0,0,,2,5,0,0,0,0,0
TXB09559B49A,U0146,U0910,169.01,2026-08-01 02:02:10,UPI,,0,0,,2,5,0,0,0,0,0
TX8595D3142A,U0212,U0053,2563.23,2026-08-01 02:03:15,UPI,,0,0,,2,5,0,0,0,0,0
TX4E9BBFB8D2,U0656,U0479,354.5,2026-08-01 02:03:52,NetBanking,,0,0,,2,5,0,0,0,0,0
TXC4014E3F5C,U0117,U0745,2152.91,2026-08-01 02:04:08,UPI,,0,0,,2,5,0,0,0,0,0
TX93B9B8F6D2,U0175,U0529,839.64,2026-08-01 02:05:34,UPI,,0,0,,2,5,0,0,0,0,0
TX95A945BE49,U0709,U0942,381.02,2026-08-01 02:05:36,UPI,,0,0,,2,5,0,0,0,0,0
TX04604C3DE9,U0212,U0189,2722.87,2026-08-01 02:05:50,UPI,1.0623,0,0,0.0,2,5,1,1,0,1,0
TXB7ECBB4296,U0101,U0036,170.35,2026-08-01 02:07:34,Card,,0,0,,2,5,0,0,0,0,0
TXFB8F827FF8,U0128,U0031,1640.15,2026-08-01 02:12:07,UPI,,0,0,,2,5,0,0,0,0,0
TX41F866F27C,U0609,U0145,1139.73,2026-08-01 02:16:47,UPI,,0,0,,2,5,0,0,0,0,0
TX2FAA0AF737,U0584,U0396,918.3,2026-08-01 02:22:09,Card,,0,0,,2,5,0,0,0,0,0
TXD565657C55,U0258,U0017,2724.84,2026-08-01 02:22:44,UPI,1.173,0,0,0.0,2,5,0,1,0,1,0
TX90B627F72F,U0294,U0672,904.73,2026-08-01 02:28:42,Card,,0,0,,2,5,0,0,0,0,0
TXA88AFD875A,U0655,U0085,592.27,2026-08-01 02:28:57,UPI,,0,0,,2,5,0,0,0,0,0
TXD4B6C2C81C,U0242,U0285,3753.96,2026-08-01 02:29:17,Card,,0,0,,2,5,0,0,0,0,0
TXA2A18586D0,U0547,U0135,336.22,2026-08-01 02:30:46,UPI,,0,0,,2,5,0,0,0,0,0
TXD0E27769C3,U0793,U0045,1418.23,2026-08-01 02:32:29,UPI,,0,0,,2,5,0,0,0,0,0
TXE0FC7D7FAF,U0832,U0398,1455.55,2026-08-01 02:34:52,Card,,0,0,,2,5,0,0,0,0,0
TXB19CC8FC89,U0007,U0483,103.21,2026-08-01 02:36:54,NetBanking,,0,0,,2,5,0,0,0,0,0
TX52476CBA19,U0413,U0753,5505.44,2026-08-01 02:38:18,UPI,,0,0,,2,5,0,0,0,0,0
TX28B4034A7D,U0945,U0347,357.27,2026-08-01 02:38:24,Card,,0,0,,2,5,0,0,0,0,0
TX992A4FF6D4,U0871,U0424,480.78,2026-08-01 02:40:51,Card,,0,0,,2,5,0,0,0,0,0
TX7FD5818270,U0833,U0739,289.17,2026-08-01 02:42:38,UPI,,0,0,,2,5,0,0,0,0,0
TX3526D34551,U0542,U0013,1093.92,2026-08-01 02:42:54,UPI,,0,0,,2,5,0,0,0,0,0
TXA294219F7E,U0054,U0613,4237.49,2026-08-01 02:43:04,NetBanking,,0,0,,2,5,0,0,0,0,0
TXC49303DEC4,U0472,U1000,5974.7,2026-08-01 02:46:30,Card,,0,0,,2,5,0,0,0,0,0
TX17B0B05A43,U0993,U0703,680.17,2026-08-01 02:47:19,UPI,,0,0,,2,5,0,0,0,0,0
TX2B994A5BA5,U0846,U0111,1049.03,2026-08-01 02:47:46,UPI,,0,0,,2,5,0,0,0,0,0
TXB3CF1DE949,U0910,U0680,610.34,2026-08-01 02:51:03,UPI,,0,0,,2,5,0,0,0,0,0
TXE6C12DCFD7,U0759,U0834,3553.17,2026-08-01 02:51:46,UPI,,0,0,,2,5,0,0,0,0,0
TXCA6154E99B,U0314,U0021,4690.94,2026-08-01 02:53:34,UPI,,0,0,,2,5,0,0,0,0,0
TXFC76E3EB30,U0615,U0750,4549.06,2026-08-01 03:01:53,NetBanking,,0,0,,3,5,0,0,0,0,0
TX280AD80FAD,U0938,U0569,2559.18,2026-08-01 03:06:16,UPI,,0,0,,3,5,0,0,0,0,0
TXCE21C83812,U0052,U0008,1778.92,2026-08-01 03:06:50,UPI,,0,0,,3,5,0,0,0,0,0
TX26512679B7,U0338,U0394,1829.39,2026-08-01 03:12:12,UPI,,0,0,,3,5,0,0,0,0,0
TXEEAA2D5720,U0282,U0019,333.69,2026-08-01 03:13:38,UPI,,0,0,,3,5,0,0,0,0,0
TX8612BA3A64,U0173,U0122,1724.68,2026-08-01 03:13:45,UPI,,0,0,,3,5,0,0,0,0,0
